sample_id,line,code,has_issue,issue_type
clean_0,1,class UserManager:,False,none
clean_0,2,"    """"""Secure user management system.""""""",False,none
clean_0,4,    def __init__(self):,False,none
clean_0,5,        self._users = {},False,none
clean_0,6,        self._active_sessions = set(),False,none
clean_0,8,"    def create_user(self, username: str, email: str, password: str) -> bool:",False,none
clean_0,9,"        """"""Create a new user with validation.""""""",False,none
clean_0,10,        if not self._validate_username(username):,False,none
clean_0,11,"            raise ValueError(""Invalid username format"")",False,none
clean_0,13,        if not self._validate_email(email):,False,none
clean_0,14,"            raise ValueError(""Invalid email format"")",False,none
clean_0,16,        if username in self._users:,False,none
clean_0,17,"            raise ValueError(""Username already exists"")",False,none
clean_0,19,        self._users[username] = {,False,none
clean_0,20,"            ""email"": email,",False,none
clean_0,21,"            ""password_hash"": self._hash_password(password),",False,none
clean_0,22,"            ""created_at"": ""2024-01-01"",  # Simplified for example",False,none
clean_0,23,"            ""active"": True",False,none
clean_0,24,        },False,none
clean_0,25,        return True,False,none
clean_0,27,"    def authenticate(self, username: str, password: str) -> bool:",False,none
clean_0,28,"        """"""Authenticate user credentials.""""""",False,none
clean_0,29,        if username not in self._users:,False,none
clean_0,30,            return False,False,none
clean_0,32,        user = self._users[username],False,none
clean_0,33,"        if not user[""active""]:",False,none
clean_0,34,            return False,False,none
clean_0,36,"        return user[""password_hash""] == self._hash_password(password)",False,none
clean_0,38,"    def _validate_username(self, username: str) -> bool:",False,none
clean_0,39,"        """"""Validate username format.""""""",False,none
clean_0,40,        return (,False,none
clean_0,41,"            isinstance(username, str) and",False,none
clean_0,42,            3 <= len(username) <= 20 and,False,none
clean_0,43,            username.isalnum(),False,none
clean_0,44,        ),False,none
clean_0,46,"    def _validate_email(self, email: str) -> bool:",False,none
clean_0,47,"        """"""Basic email validation.""""""",False,none
clean_0,48,        return (,False,none
clean_0,49,"            isinstance(email, str) and",False,none
clean_0,50,"            ""@"" in email and",False,none
clean_0,51,"            ""."" in email.split(""@"")[-1]",False,none
clean_0,52,        ),False,none
clean_0,54,"    def _hash_password(self, password: str) -> str:",False,none
clean_0,55,"        """"""Simple password hashing (use proper hashing in production).""""""",False,none
clean_0,56,"        return f""hashed_{hash(password)}""",False,none
problematic_0,1,# FIXME: Security vulnerabilities in user management,True,incomplete_code
problematic_0,2,"import pickle, os  # Security risk with pickle",False,other
problematic_0,3,from hashlib import *  # Wildcard import,True,security_risk
problematic_0,5,users = {}  # Global mutable state,False,other
problematic_0,6,current_user = None  # Global state,False,other
problematic_0,8,class usermanager:  # Poor naming convention,False,other
problematic_0,9,    def __init__(self):,False,other
problematic_0,10,        # TODO: Load users from secure storage,True,incomplete_code
problematic_0,11,        self.users = users  # Reference to global,False,other
problematic_0,12,"        self.admin = ""admin""  # Hardcoded admin",False,other
problematic_0,13,"        print(""UserManager started"")  # Debug print",True,debug_code
problematic_0,15,"    def createUser(self, name, pwd, email=""""):  # camelCase, poor param names",False,other
problematic_0,16,        # XXX: No password strength validation,True,incomplete_code
problematic_0,17,"        if name == """":  # Poor string check",False,other
problematic_0,18,            return False,False,other
problematic_0,20,        if name in self.users:,False,other
problematic_0,21,"            print(""User exists"")  # Poor error handling",True,debug_code
problematic_0,22,            return False,False,other
problematic_0,24,        # HACK: Simple password storage (MAJOR SECURITY ISSUE),True,incomplete_code
problematic_0,25,        user_data = {,False,other
problematic_0,26,"            ""password"": pwd,  # Storing plaintext password!",False,other
problematic_0,27,"            ""email"": email,",False,other
problematic_0,28,"            ""role"": ""user"",",False,other
problematic_0,29,"            ""active"": True",False,other
problematic_0,30,        },False,other
problematic_0,32,        self.users[name] = user_data,False,other
problematic_0,33,"        print(f""Created user: {name}"")  # Logging sensitive info",True,debug_code
problematic_0,34,        return True,False,other
problematic_0,36,"    def login(self, name, pwd):",False,other
problematic_0,37,        # TODO: Implement session management,True,incomplete_code
problematic_0,38,        try:,False,other
problematic_0,39,            if name in self.users:,False,other
problematic_0,40,"                if self.users[name][""password""] == pwd:  # Plaintext comparison",False,other
problematic_0,41,                    global current_user  # Global variable modification,True,poor_practice
problematic_0,42,                    current_user = name,False,other
problematic_0,43,"                    print(f""User {name} logged in"")  # Logging",True,debug_code
problematic_0,44,                    return True,False,other
problematic_0,45,                else:,False,other
problematic_0,46,                    return False,False,other
problematic_0,47,            else:,False,other
problematic_0,48,                return False,False,other
problematic_0,49,        except Exception:  # Too broad exception,True,poor_exception_handling
problematic_0,50,"            print(""Login error"")",True,debug_code
problematic_0,51,            return False,False,other
problematic_0,53,"    def deleteUser(self, name):  # Destructive operation",False,other
problematic_0,54,        # FIXME: No confirmation or authorization check,True,incomplete_code
problematic_0,55,        if name in self.users:,False,other
problematic_0,56,            del self.users[name],False,other
problematic_0,57,"            print(f""Deleted user: {name}"")  # Logging sensitive operation",True,debug_code
problematic_0,58,            return True,False,other
problematic_0,59,        return False,False,other
problematic_0,61,"    def saveUsers(self, filename=""users.pkl""):  # Security risk with pickle",False,other
problematic_0,62,        try:,False,other
problematic_0,63,"            f = open(filename, ""wb"")  # No context manager",False,other
problematic_0,64,"            pickle.dump(self.users, f)  # Pickle security risk",False,other
problematic_0,65,            f.close(),False,other
problematic_0,66,        except:  # Bare except,True,poor_exception_handling
problematic_0,67,            pass  # Silent failure,False,other
problematic_0,69,"    def loadUsers(self, filename=""users.pkl""):",False,other
problematic_0,70,        # HACK: Loading pickled data (security risk),True,incomplete_code
problematic_0,71,        try:,False,other
problematic_0,72,            if os.path.exists(filename):,False,other
problematic_0,73,"                f = open(filename, ""rb"")",False,other
problematic_0,74,                self.users = pickle.load(f)  # Pickle deserialization risk,False,other
problematic_0,75,                f.close(),False,other
problematic_0,76,        except:,True,poor_exception_handling
problematic_0,77,"            print(""Could not load users"")",True,debug_code
problematic_0,78,            self.users = {},False,other
problematic_0,80,"    def __getitem__(self, key):  # Unnecessary magic method",False,other
problematic_0,81,"        return self.users.get(key, None)",False,other
problematic_0,83,# Insecure global function,True,poor_practice
problematic_0,84,"def admin_access(username, action):",False,other
problematic_0,85,    # XXX: No proper authorization,True,incomplete_code
problematic_0,86,"    if username == ""admin"":",False,other
problematic_0,87,        exec(action)  # MAJOR SECURITY RISK: arbitrary code execution,True,security_risk
problematic_0,88,        return True,False,other
problematic_0,89,    return False,False,other
clean_1,1,class TaskManager:,False,none
clean_1,2,"    """"""Efficient task management with priority handling.""""""",False,none
clean_1,4,    def __init__(self):,False,none
clean_1,5,        self._tasks = {},False,none
clean_1,6,        self._next_id = 1,False,none
clean_1,8,"    def add_task(self, title: str, description: str = """", priority: str = ""medium"") -> int:",False,none
clean_1,9,"        """"""Add a new task with validation.""""""",False,none
clean_1,10,        if not title.strip():,False,none
clean_1,11,"            raise ValueError(""Task title cannot be empty"")",False,none
clean_1,13,"        valid_priorities = {""low"", ""medium"", ""high"", ""urgent""}",False,none
clean_1,14,        if priority not in valid_priorities:,False,none
clean_1,15,"            raise ValueError(f""Priority must be one of: {valid_priorities}"")",False,none
clean_1,17,        task_id = self._next_id,False,none
clean_1,18,        self._tasks[task_id] = {,False,none
clean_1,19,"            ""title"": title.strip(),",False,none
clean_1,20,"            ""description"": description.strip(),",False,none
clean_1,21,"            ""priority"": priority,",False,none
clean_1,22,"            ""completed"": False",False,none
clean_1,23,        },False,none
clean_1,24,        self._next_id += 1,False,none
clean_1,25,        return task_id,False,none
clean_1,27,"    def complete_task(self, task_id: int) -> bool:",False,none
clean_1,28,"        """"""Mark a task as completed.""""""",False,none
clean_1,29,        if task_id not in self._tasks:,False,none
clean_1,30,"            raise KeyError(f""Task {task_id} not found"")",False,none
clean_1,32,"        self._tasks[task_id][""completed""] = True",False,none
clean_1,33,        return True,False,none
clean_1,35,"    def get_pending_tasks(self) -> Dict[int, Dict]:",False,none
clean_1,36,"        """"""Get all incomplete tasks.""""""",False,none
clean_1,37,        return {,False,none
clean_1,38,"            tid: task for tid, task in self._tasks.items() ",False,none
clean_1,39,"            if not task[""completed""]",False,none
clean_1,40,        },False,none
clean_1,42,"    def get_tasks_by_priority(self, priority: str) -> Dict[int, Dict]:",False,none
clean_1,43,"        """"""Get tasks filtered by priority level.""""""",False,none
clean_1,44,        return {,False,none
clean_1,45,"            tid: task for tid, task in self._tasks.items() ",False,none
clean_1,46,"            if task[""priority""] == priority",False,none
clean_1,47,        },False,none
problematic_1,1,# FIXME: Rewrite this entire task manager,True,incomplete_code
problematic_1,2,from os import *  # Wildcard import,True,security_risk
problematic_1,3,"import sys, json, pickle  # Multiple imports",False,other
problematic_1,5,DEBUG = True  # Global constant,False,other
